complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,introspection,object_changes,code_generation,library_loading,defect
4,116,447,308,343,6,5,95,453,7,96,59,111,103,170,651,1136,4,4600,255,0,0,26,0,340,129,37,266,1
4,116,322,174,179,16,74,51,338,10,41,26,46,51,72,252,408,5,2291,127,0,0,26,0,340,132,38,267,1
23,383,1450,624,1228,12,26,181,1462,14,306,186,354,320,540,2580,4493,8,36391,2021,1,0,98,0,350,138,40,275,1
7,305,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0,49,0,360,144,41,283,1
7,305,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0,49,0,370,146,41,284,1
9,378,15,9,9,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,380,150,42,292,1
158,2888,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0,526,0,520,208,56,391,1
6,264,207,111,150,11,0,50,218,5,26,19,36,31,55,133,272,3,943,52,0,0,58,0,520,208,56,392,1
6,264,410,198,237,31,55,97,441,11,63,38,72,74,110,414,683,6,4293,238,0,0,58,0,530,209,57,393,1
30,664,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,148,0,530,211,57,394,1
30,664,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0,148,0,530,212,57,395,1
30,664,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0,148,0,540,213,57,396,1
4,109,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,33,0,540,214,57,397,1
4,109,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,0,33,0,550,214,58,398,1
6,202,256,139,192,9,7,47,265,4,23,12,24,27,36,112,171,2,357,19,0,0,39,0,550,215,58,399,1
1,129,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,24,0,580,226,60,426,1
53,870,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0,154,0,590,230,61,434,1
126,3063,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0,479,0,600,236,62,442,1
126,3063,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,0,479,0,610,238,62,443,1
4,217,207,111,150,11,0,50,218,5,26,19,36,31,55,133,272,3,943,52,0,0,51,0,630,246,64,458,1
7,467,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,74,0,630,248,64,459,1
4,184,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,43,0,630,249,64,460,1
35,2376,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0,389,0,630,249,64,461,1
67,1751,477,336,357,30,23,73,507,16,194,134,250,210,384,1538,2962,10,30538,1696,0,0,291,0,670,262,67,483,1
12,285,1523,757,1297,19,12,193,1542,12,193,117,230,205,347,1508,2664,7,19053,1058,0,0,58,0,750,292,74,533,1
12,285,701,378,504,33,58,109,734,13,110,68,126,123,194,794,1346,7,10027,557,0,0,58,0,750,293,75,534,1
1,85,13,10,10,0,0,3,13,1,2,1,2,3,3,2,4,0,2,0,0,2,1,1,760,297,76,544,1
4,403,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,2,3,760,298,76,545,1
4,89,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0,21,0,760,300,76,546,1
153,2747,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,16,35,760,302,76,547,1
69,1398,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,201,61,760,304,76,548,1
69,1398,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,201,61,760,305,76,549,1
69,1398,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,201,61,770,306,76,550,1
40,618,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,2,39,780,309,76,564,1
74,1856,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,2,9,197,780,311,76,565,1
74,1856,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,2,9,197,790,313,76,566,1
42,2602,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,265,0,790,315,76,567,1
4,190,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,2,2,2,790,316,76,568,1
34,2129,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,21,48,790,316,76,569,1
40,612,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,6,7,790,316,76,570,0
73,1454,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,2,12,1,790,318,76,571,0
73,1454,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,2,12,1,790,319,76,572,0
73,1454,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,2,12,1,800,320,76,573,0
