loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
41,7,34,4,0,5,45,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
19,8,11,5,0,4,24,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,1.6844129532345624,0.008422064766172813
11,7,7,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,3,3,0,0,1,4,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
13,12,11,1,0,2,14,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938
1394,743,1091,31,40,238,1425,19,286,192,365,305,557,2414.4338250740475,4596.734645874788,12.124125874125873,55731.38945654135,3096.188303141186,1.5322448819582626
38,12,29,3,0,6,41,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938
715,223,577,3,25,101,718,9,65,37,74,74,111,419.9832328598303,689.2493235848135,5.123076923076923,3531.0773039037367,196.17096132798537,0.22974977452827117
1006,354,834,12,15,143,1018,8,124,72,135,132,207,886.3203424879727,1458.1895827071999,4.354838709677419,6350.180440821677,352.7878022678709,0.4860631942357333
1153,520,978,16,15,147,1169,10,179,114,224,189,338,1372.8223050791755,2556.0379393867224,6.256983240223463,15993.086548118039,888.5048082287799,0.8520126464622408
386,255,305,6,9,67,392,3,61,36,71,64,107,366.52986509349955,642.0,1.7459016393442623,1120.8688524590164,62.27049180327869,0.214
377,161,320,8,0,50,385,5,76,44,79,81,123,486.4521314961493,779.8015503548089,2.598684210526316,2026.4579762509838,112.58099868061021,0.25993385011826964
1213,405,1073,8,15,117,1221,10,109,59,111,119,170,770.9513723495585,1172.1190197623505,5.091743119266055,5968.128953835821,331.56271965754564,0.3907063399207835
133,69,106,2,7,18,135,7,32,17,33,39,50,179.65148445440323,264.27011094311246,3.609375,953.8499316852965,52.99166287140536,0.08809003698103748
630,287,530,16,6,83,646,6,87,50,99,93,149,576.0458591431664,974.3346628550968,3.413793103448276,3326.1769525053305,184.78760847251837,0.32477822095169895
53,23,39,0,0,13,53,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451
1043,234,883,3,10,146,1046,8,56,30,59,64,89,349.21187563522585,534.0,4.214285714285714,2250.4285714285716,125.02380952380953,0.178
1254,555,1028,36,33,151,1290,9,208,121,237,217,358,1630.220786386328,2778.635341215124,5.127403846153846,14247.18553560543,791.510307533635,0.9262117804050413
1526,594,1327,18,18,170,1544,10,185,118,233,195,351,1426.5248511443913,2670.1729401261136,6.297297297297297,16814.872839172553,934.159602176253,0.8900576467087046
313,193,264,3,16,25,316,6,90,66,131,96,197,599.7765536739977,1297.2376126420677,4.366666666666666,5664.604241870362,314.70023565946457,0.43241253754735587
356,244,290,8,8,51,364,11,70,44,84,81,128,467.103558991158,811.500800369232,6.6,5355.905282436931,297.5502934687184,0.270500266789744
981,477,793,40,9,136,1021,10,172,106,190,182,296,1310.5368187576344,2222.3072134988142,5.523255813953488,12274.371237348101,681.9095131860056,0.7407690711662714
471,320,363,6,5,99,477,8,98,60,113,106,173,672.2415647232905,1163.9302386394334,4.612244897959184,5368.331304745142,298.2406280413968,0.38797674621314443
1239,364,1055,10,77,97,1249,6,43,24,46,49,70,248.83915945651714,393.0296890880646,3.2093023255813953,1261.3510952128584,70.0750608451588,0.1310098963626882
159,85,115,9,0,39,168,4,16,10,18,20,28,72.0,121.01398665684616,2.25,272.28146997790384,15.12674833210577,0.040337995552282055
1245,631,1062,8,6,162,1253,10,257,148,293,267,441,2090.6647900917005,3554.7669058742117,5.700389105058366,20263.554541267393,1125.7530300704107,1.1849223019580706
1577,713,1337,25,13,205,1602,12,215,125,236,227,361,1708.8810126703877,2825.3840039120205,6.586046511627907,18608.11046297405,1033.7839146096694,0.9417946679706735
335,255,279,10,4,41,345,5,133,77,149,138,226,949.962204396095,1606.5265272318663,2.800751879699248,4499.482190931355,249.97123282951972,0.5355088424106221
220,132,183,6,0,31,226,8,65,43,72,73,115,415.4539078468495,711.829824271202,4.430769230769231,3153.953682924711,175.2196490513728,0.2372766080904007
17,11,11,0,0,6,17,2,3,2,4,5,6,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725
77,37,61,1,0,15,78,3,14,7,14,17,21,58.05785641096992,85.83671966625714,1.5,128.75507949938572,7.153059972188095,0.02861223988875238
939,382,804,18,6,111,957,7,77,48,84,84,132,502.19404808791063,843.7858998067964,3.8181818181818183,3221.7279810804953,178.9848878378053,0.28126196660226543
1318,592,1096,14,26,181,1332,15,264,161,304,279,465,2182.3234064447597,3777.716410000572,8.636363636363637,32625.732631823124,1812.5407017679513,1.259238803333524
484,329,378,2,0,98,486,10,114,70,137,124,207,812.1687425636542,1439.5186362500833,6.008771929824562,8649.739173958835,480.54106521993526,0.47983954541669444
118,74,84,5,3,25,123,8,28,18,34,36,52,158.6059378176129,268.8361000750002,4.857142857142857,1305.7753432214295,72.54307462341275,0.08961203335833341
359,200,252,9,16,82,368,10,52,33,57,62,90,329.64214629221044,535.8776679348189,5.480769230769231,2937.0218338735267,163.16787965964036,0.17862588931160628
230,101,187,1,3,39,231,5,20,10,20,25,30,98.04820237218406,139.31568569324173,2.5,348.2892142331043,19.349400790728016,0.04643856189774724
1211,544,981,48,32,149,1259,11,166,93,185,177,278,1262.3102934085998,2075.9943429230734,6.129518072289157,12724.844842917031,706.9358246065017,0.6919981143076911
1247,615,1053,21,6,166,1268,9,164,92,181,173,273,1235.1678537703467,2029.653506144826,4.966463414634147,10080.199882652201,560.0111045917889,0.676551168714942
299,59,239,0,4,55,299,3,11,6,12,14,18,42.808635307173745,68.53238859703687,1.6363636363636365,112.14390861333307,6.23021714518517,0.022844129532345624
156,61,106,11,0,39,167,3,26,21,36,29,57,126.96632017383187,276.90491672227165,2.076923076923077,575.1102116539489,31.950567314108273,0.09230163890742388
86,41,65,0,3,17,86,3,9,6,10,12,16,33.28421251514428,57.359400011538504,1.6666666666666667,95.59900001923084,5.311055556623936,0.01911980000384617
383,93,293,5,0,85,388,1,5,5,5,6,10,11.60964047443681,25.84962500721156,0.5,12.92481250360578,0.71804513908921,0.00861654166907052
13,10,9,0,3,1,13,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009
12,8,7,0,4,1,12,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009
10,5,4,0,4,2,10,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
6,4,4,0,0,2,6,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
509,282,402,31,13,70,540,10,244,194,347,254,541,1968.319191314218,4321.878415543742,7.110655737704918,30731.38955314915,1707.2994196193972,1.4406261385145809
183,34,164,1,0,18,184,2,16,8,16,18,24,66.0,100.07820003461549,1.0,100.07820003461549,5.559900001923083,0.0333594000115385
1381,498,1115,12,68,182,1393,12,128,85,163,140,248,939.0195500086538,1768.0621882023518,7.640625,13509.100156733593,750.5055642629774,0.5893540627341173
1663,589,1369,10,33,246,1673,9,171,99,193,180,292,1296.9821050584694,2187.621104128265,5.078947368421052,11110.812449914609,617.2673583285894,0.7292070347094216
445,148,379,5,4,59,450,4,31,20,31,35,51,161.58008562199316,261.5934338641933,2.0,523.1868677283866,29.065937096021475,0.08719781128806443
19,6,16,0,0,2,19,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
269,58,227,0,0,41,269,2,20,10,20,22,30,88.43856189774725,133.78294855911892,1.0,133.78294855911892,7.432386031062162,0.044594316186372975
279,161,214,5,7,51,284,5,27,15,28,32,43,139.9916030328505,215.0,2.5925925925925926,557.4074074074074,30.96707818930041,0.07166666666666667
3939,921,3445,19,45,423,3958,9,149,85,164,158,249,1104.1854345618428,1818.6414062960987,4.953020134228188,9007.767502325643,500.4315279069802,0.6062138020986996
66,44,44,1,0,21,67,9,49,26,51,58,77,303.650107374626,451.064536624823,4.683673469387755,2112.639003171365,117.36883350952027,0.15035484554160766
1448,929,1217,34,17,188,1482,15,502,284,538,517,822,4562.318223017415,7409.524826598876,8.03784860557769,59556.638795471044,3308.7021553039467,2.469841608866292
211,147,149,1,0,61,212,6,43,23,46,49,69,248.83915945651714,387.4149792439494,3.2093023255813953,1243.3317938526748,69.07398854737082,0.1291383264146498
746,394,566,18,0,164,764,9,187,103,198,196,301,1439.798589011969,2292.0276630786775,4.764705882352941,10920.83768878664,606.7132049325911,0.7640092210262258
3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0
140,89,101,3,0,35,143,7,56,35,64,63,99,344.86336008962905,591.7507124264918,4.0,2367.002849705967,131.50015831699818,0.19725023747549725
1086,294,879,30,15,164,1116,5,109,64,128,114,192,749.3417318751217,1311.9148827196304,2.9357798165137616,3851.4932336723095,213.97184631512832,0.43730496090654347
36,18,28,0,0,8,36,1,3,2,4,4,6,4.754887502163469,12.0,0.6666666666666666,8.0,0.4444444444444444,0.004
51,25,36,0,0,15,51,3,11,6,12,14,18,42.808635307173745,68.53238859703687,1.6363636363636365,112.14390861333307,6.23021714518517,0.022844129532345624
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,9,8,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,8,7,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,10,9,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,9,9,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,15,12,0,0,7,20,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,21,21,0,0,6,27,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938
7,5,5,0,0,2,7,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
20,12,12,0,0,8,20,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
15,10,10,0,0,5,15,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
15,9,9,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,9,9,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,9,9,0,0,6,15,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
10,7,7,0,0,3,10,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,4,4,0,0,2,6,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
2,2,2,0,0,0,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,6,6,0,0,4,10,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,9,9,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,18,14,0,0,5,19,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
