complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,defect
35,2376,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
67,1751,477,336,357,30,23,73,507,16,194,134,250,210,384,1538,2962,10,30538,1696,0,1
12,285,1523,757,1297,19,12,193,1542,12,193,117,230,205,347,1508,2664,7,19053,1058,0,1
12,285,701,378,504,33,58,109,734,13,110,68,126,123,194,794,1346,7,10027,557,0,1
1,85,13,10,10,0,0,3,13,1,2,1,2,3,3,2,4,0,2,0,0,1
4,403,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,1
4,89,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,1
153,2747,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,1
69,1398,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
69,1398,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,1
69,1398,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,1
40,618,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
74,1856,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,1
74,1856,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,1
42,2602,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
4,190,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,1
34,2129,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
40,612,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0
73,1454,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
73,1454,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
73,1454,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
44,2661,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
74,1467,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
74,1467,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,1
74,1467,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,1
153,2741,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
17,403,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0
17,403,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0
5,104,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0
44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
74,1599,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
74,1599,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
74,1599,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
74,1599,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1599,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
74,1599,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
5,535,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
74,1848,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0
74,1848,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,0
20,484,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0
20,484,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,0
154,2757,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
20,486,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0
20,486,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,0
10,344,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0
75,1511,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
75,1511,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
75,1511,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
75,1611,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,1
75,1611,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,1
75,1611,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,1
75,1611,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1611,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,1
75,1611,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,1
75,1516,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
75,1516,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
75,1516,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,1
63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,1
49,681,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
44,2697,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
28,1795,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
63,1425,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
63,1425,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
63,1425,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
62,1381,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
62,1381,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
62,1381,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
64,1421,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
64,1421,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
64,1421,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
63,1405,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
63,1405,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
63,1405,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
43,2647,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
307,7644,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0
307,7644,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,0
75,1589,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
75,1589,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
75,1589,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
75,1589,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1589,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
75,1589,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
20,491,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0
20,491,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,0
12,236,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,0
23,517,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0
23,517,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0
18,917,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0
19,455,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0
19,455,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0
18,919,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,1
154,2757,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,1
22,1090,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,1
23,1138,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,0
78,1665,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,1
78,1665,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,1
78,1665,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,1
78,1665,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1665,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,1
78,1665,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,1
6,609,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,1
78,1680,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
78,1680,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
78,1680,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
78,1680,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1680,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
78,1680,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
79,1683,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
79,1683,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
79,1683,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
79,1683,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1683,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
79,1683,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
7,611,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
1,85,13,10,10,0,0,3,13,1,2,1,2,3,3,2,4,0,2,0,0,0
7,571,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
150,2630,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
6,203,256,139,192,9,7,47,265,4,23,12,24,27,36,112,171,2,357,19,0,0
49,683,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0
74,1822,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0
74,1822,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,0
