complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,defect
4,200,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0
28,1715,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0
152,2651,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
152,2651,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,1
74,1822,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,1
74,1822,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,1
4,200,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,1
61,1365,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
61,1365,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
61,1365,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
49,683,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,1
74,1813,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,1
74,1813,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,1
152,2659,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
152,2655,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0
64,1432,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
64,1432,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,1
64,1432,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,1
44,2743,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,1
62,1413,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
62,1413,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0
62,1413,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0
44,2833,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
29,1741,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0
44,2848,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
44,2906,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
79,1690,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
79,1690,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
79,1690,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
79,1690,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1690,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
79,1690,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
8,660,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
47,2925,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0
87,1812,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0
87,1812,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0
87,1812,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0
87,1812,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1812,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0
87,1812,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0
