loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
115,71,82,2,3,24,117,,,,,,,,,,,,
1,1,1,0,0,0,1,,,,,,,,,,,,
343,46,104,156,0,83,499,,,,,,,,,,,,
87,18,83,66,0,3,153,,,,,,,,,,,,
1,1,1,0,0,0,1,,,,,,,,,,,,
72,33,56,0,4,12,72,,,,,,,,,,,,
14,7,7,2,0,5,16,,,,,,,,,,,,
38,23,23,0,0,15,38,,,,,,,,,,,,
283,196,195,3,0,87,286,,,,,,,,,,,,
44,19,17,0,16,11,44,,,,,,,,,,,,
13,10,10,0,0,3,13,,,,,,,,,,,,
14,10,10,0,0,4,14,,,,,,,,,,,,
5,3,3,0,0,2,5,,,,,,,,,,,,
5,5,5,0,0,0,5,,,,,,,,,,,,
16,10,10,0,0,6,16,,,,,,,,,,,,
5,5,5,0,0,0,5,,,,,,,,,,,,
20,14,14,0,0,6,20,,,,,,,,,,,,
1,0,0,1,0,0,2,,,,,,,,,,,,
2,2,2,0,0,0,2,,,,,,,,,,,,
6,4,4,0,0,2,6,,,,,,,,,,,,
1,0,0,1,0,0,2,,,,,,,,,,,,
46,27,30,3,0,12,49,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,
94,45,81,4,3,6,98,,,,,,,,,,,,
310,197,244,12,0,52,322,,,,,,,,,,,,
101,72,80,3,3,17,104,,,,,,,,,,,,
662,370,448,23,76,105,685,,,,,,,,,,,,
288,201,219,15,10,46,303,,,,,,,,,,,,
375,271,279,23,10,63,398,,,,,,,,,,,,
221,116,180,1,7,32,222,,,,,,,,,,,,
113,70,81,7,5,19,120,,,,,,,,,,,,
457,240,258,26,67,106,483,,,,,,,,,,,,
924,664,764,32,25,106,956,,,,,,,,,,,,
179,90,123,3,20,33,182,,,,,,,,,,,,
101,23,74,0,8,19,101,,,,,,,,,,,,
250,142,144,12,41,46,262,,,,,,,,,,,,
196,112,106,6,46,37,202,,,,,,,,,,,,
8,5,5,2,0,1,10,,,,,,,,,,,,
314,205,237,12,9,52,326,,,,,,,,,,,,
736,262,272,57,248,160,793,,,,,,,,,,,,
109,42,38,2,49,18,111,,,,,,,,,,,,
822,521,528,24,104,160,846,,,,,,,,,,,,
635,136,81,35,281,227,670,,,,,,,,,,,,
1372,777,796,34,232,300,1406,,,,,,,,,,,,
192,87,85,8,48,49,200,,,,,,,,,,,,
114,66,83,10,0,21,124,,,,,,,,,,,,
627,339,458,34,46,94,661,,,,,,,,,,,,
1480,888,1068,74,117,214,1554,,,,,,,,,,,,
427,234,283,18,50,78,445,,,,,,,,,,,,
572,323,401,12,58,102,584,,,,,,,,,,,,
88,54,70,3,0,16,91,,,,,,,,,,,,
