,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
57,7,305,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,0,49,0,1
58,9,378,15,9,9,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1
59,158,2888,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,0,526,0,1
60,6,264,207,111,150,11,0,50,218,5,26,19,36,31,55,133,272,3,943,52,0,0,58,0,1
61,6,264,410,198,237,31,55,97,441,11,63,38,72,74,110,414,683,6,4293,238,0,0,58,0,1
62,30,664,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,148,0,1
63,30,664,74,35,59,1,0,14,75,3,14,7,14,17,21,58,85,1,128,7,0,0,148,0,1
64,30,664,245,125,200,5,7,34,250,7,30,17,34,37,51,166,265,3,1053,58,0,0,148,0,1
65,4,109,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,33,0,1
66,4,109,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,0,33,0,1
67,6,202,256,139,192,9,7,47,265,4,23,12,24,27,36,112,171,2,357,19,0,0,39,0,1
68,1,129,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,24,0,1
69,53,870,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0,154,0,1
70,126,3063,1943,715,1694,26,18,214,1969,12,185,120,237,197,357,1436,2721,7,20915,1161,0,0,479,0,1
71,126,3063,1168,838,957,57,25,144,1225,19,348,224,416,367,640,3018,5452,11,61921,3440,1,0,479,0,1
72,4,217,207,111,150,11,0,50,218,5,26,19,36,31,55,133,272,3,943,52,0,0,51,0,1
73,7,467,1457,730,1242,11,6,188,1468,10,292,166,329,302,495,2424,4078,5,22973,1276,1,0,74,0,1
74,4,184,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,43,0,1
75,35,2376,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,0,389,0,1
76,67,1751,477,336,357,30,23,73,507,16,194,134,250,210,384,1538,2962,10,30538,1696,0,0,291,0,1
