,CommitID,filename,token_count,change_type,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,defect
0,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/setup.py,95.0,ModificationType.MODIFY,42,7,35,4,0,5,46,1,2,1,2,3,3,2.0,4.754887502163468,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,False
1,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/extra/setup-py.test/setup.py,95.0,ModificationType.MODIFY,11,6,10,0,0,1,11,2,4,2,4,6,6,10.0,15.509775004326935,1.0,15.509775004326935,0.861654166907052,0.005169925001442312,False
2,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,6237.0,ModificationType.MODIFY,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304875,1898.2484171914662,4.935483870967742,9368.774446138525,520.4874692299181,0.6327494723971553,False
3,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,6237.0,ModificationType.MODIFY,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.6783660526569,3032.459024427525,9.168949771689498,27804.46447968251,1544.692471093473,1.0108196748091751,False
4,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,8002.0,ModificationType.MODIFY,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304875,1898.2484171914662,4.935483870967742,9368.774446138525,520.4874692299181,0.6327494723971553,False
5,1f639e2c22ca92f85521db7dd05f743e946ff338,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,8002.0,ModificationType.MODIFY,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.6783660526569,3032.459024427525,9.168949771689498,27804.46447968251,1544.692471093473,1.0108196748091751,False
6,63e3d89647499b7c28bde50391fa9313edb21c5d,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,8002.0,ModificationType.MODIFY,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304875,1898.2484171914662,4.935483870967742,9368.774446138525,520.4874692299181,0.6327494723971553,False
7,63e3d89647499b7c28bde50391fa9313edb21c5d,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,8002.0,ModificationType.MODIFY,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.6783660526569,3032.459024427525,9.168949771689498,27804.46447968251,1544.692471093473,1.0108196748091751,False
8,122cf60b2789487efec2b725f429eaa59baf3ea2,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,6225.0,ModificationType.MODIFY,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304875,1898.2484171914662,4.935483870967742,9368.774446138525,520.4874692299181,0.6327494723971553,False
9,122cf60b2789487efec2b725f429eaa59baf3ea2,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/fixtures.py,6225.0,ModificationType.MODIFY,1482,859,1002,125,135,219,1607,16,219,134,251,235,385,1766.6783660526569,3032.459024427525,9.168949771689498,27804.46447968251,1544.692471093473,1.0108196748091751,False
10,3322c1e03306b6db17ae7ea6991a5d6817658ae2,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/setup.py,95.0,ModificationType.MODIFY,42,7,35,4,0,5,46,1,2,1,2,3,3,2.0,4.754887502163468,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,False
11,3322c1e03306b6db17ae7ea6991a5d6817658ae2,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/extra/setup-py.test/setup.py,95.0,ModificationType.MODIFY,11,6,10,0,0,1,11,2,4,2,4,6,6,10.0,15.509775004326935,1.0,15.509775004326935,0.861654166907052,0.005169925001442312,False
12,3322c1e03306b6db17ae7ea6991a5d6817658ae2,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/python/fixtures.py,6225.0,ModificationType.MODIFY,4293,999,3693,19,54,507,4312,9,155,88,170,164,258,1156.3286078304875,1898.2484171914662,4.935483870967742,9368.774446138525,520.4874692299181,0.6327494723971553,False
