loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
1153,520,978,16,15,147,1169,10,179,114,224,189,338,1372.8223050791755,2556.0379393867224,6.256983240223463,15993.086548118039,888.5048082287799,0.8520126464622408
133,69,106,2,7,18,135,7,32,17,33,39,50,179.65148445440323,264.27011094311246,3.609375,953.8499316852965,52.99166287140536,0.08809003698103748
53,23,39,0,0,13,53,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451
335,255,279,10,4,41,345,5,133,77,149,138,226,949.962204396095,1606.5265272318663,2.800751879699248,4499.482190931355,249.97123282951972,0.5355088424106221
86,41,65,0,3,17,86,3,9,6,10,12,16,33.28421251514428,57.359400011538504,1.6666666666666667,95.59900001923084,5.311055556623936,0.01911980000384617
383,93,293,5,0,85,388,1,5,5,5,6,10,11.60964047443681,25.84962500721156,0.5,12.92481250360578,0.71804513908921,0.00861654166907052
