CommitID,filename,change_type,lines_added,lines_removed,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
361f0e6ba7f1949d7daefa882be4b7c975375e1c,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_junitxml.py,ModificationType.MODIFY,14,11,5657,1523,757,1297,19,12,193,1542,12,193,117,230,205,347,1508.3637582013935,2664.7795945283897,7.150259067357513,19053.864458285894,1058.5480254603274,0.8882598648427965
c2ae0e0dc631cbcbc8921b79bcdc7740dad33aaf,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_setuponly.py,ModificationType.RENAME,0,0,,294,64,250,0,0,43,294,1,20,10,20,21,30,86.43856189774725,131.76952268336282,0.5,65.88476134168141,3.6602645189823004,0.04392317422778761
c2ae0e0dc631cbcbc8921b79bcdc7740dad33aaf,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/test_setupplan.py,ModificationType.RENAME,0,0,,110,30,77,3,13,16,113,4,21,15,30,25,45,100.23866587835397,208.9735285398626,2.857142857142857,597.0672243996074,33.17040135553375,0.06965784284662087
71a7fd02a574120ef9c1e9d6aeeb65d186cc756a,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/logging.py,ModificationType.MODIFY,1,0,2754,773,422,505,30,103,129,803,14,77,46,83,91,129,535.8455325423139,839.5055085856318,7.545454545454546,6334.450655691586,351.9139253161992,0.2798351695285439
76c2a8ebbe367a8de8143aa91586d1c16e0bd482,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/logging.py,ModificationType.MODIFY,1,0,2754,773,422,505,30,103,129,803,14,77,46,83,91,129,535.8455325423139,839.5055085856318,7.545454545454546,6334.450655691586,351.9139253161992,0.2798351695285439
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/collect_init_tests/tests/__init__.py,ModificationType.MODIFY,2,0,5076,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/conftest_usageerror/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/marks/marks_considered_keywords/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/config/collect_pytest_prefix/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/issue88_initial_file_multinodes/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_module/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub1/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_conftest_funcargs_only_available_in_subdir/sub2/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/custom_item/__init__.pyi,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/custom_item/foo/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/doc/en/example/nonpython/__init__.py,ModificationType.MODIFY,2,0,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/pytest/__init__.py,ModificationType.MODIFY,2,0,5076,99,48,90,1,3,5,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/__init__.py,ModificationType.MODIFY,2,0,5076,8,5,5,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0
0383d4364584a32899f73efd4c4e0d2a6b30a03e,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/src/_pytest/config/__init__.py,ModificationType.MODIFY,2,0,5076,1217,716,841,84,126,174,1301,14,185,118,215,199,333,1446.608539104324,2542.995998641035,8.135135135135135,20687.616097052745,1149.3120053918192,0.847665332880345
